,Brand,Continent,Country,Latitude,Longitude,Sentiment
8981,Media Co.,South America,Uruguay,-32.8755548,-56.0201525,0
8982,Fashion Co.,Asia,Pakistan,26.9154576,75.8189817,0
8983,Media Co.,Asia,Iraq,33.0955793,44.1749775,0
8984,Restaurant Chain,North America,Bahamas,27.7567667,-81.4639835,0
8985,Fashion Co.,Asia,Lebanon,33.8750629,35.843409,-3
8986,Restaurant Chain,North America,Mexico,32.2228765,-110.9748477,0
8987,Restaurant Chain,North America,United States,32.753177,-97.3327459,1
8988,Automotive Co.,Europe,United Kingdom,54.7023545,-3.2765753,0
8989,Media Co.,Asia,Japan,36.5748441,139.2394179,4
8990,Automotive Co.,North America,Mexico,33.6469261,-117.6859213,2
8991,Automotive Co.,North America,United States,36.7014631,-118.755997,2
8992,Restaurant Chain,North America,Mexico,22.5000485,-100.0000375,3
8993,Automotive Co.,North America,Bermuda,40.7127281,-74.0060152,0
8994,Automotive Co.,Europe,Croatia,45.5643442,17.0118954,2
8995,Media Co.,Europe,Holy See (Vatican City State),41.8933203,12.4829321,4
8996,Media Co.,Africa,Benin,6.4550575,3.3941795,2
8997,Media Co.,North America,Mexico,34.0536909,-118.242766,0
8998,Automotive Co.,North America,Canada,61.0666922,-107.991707,-1
8999,Restaurant Chain,South America,Peru,-6.8699697,-75.0458515,3
9000,Restaurant Chain,North America,United States,31.8160381,-99.5120986,3
9001,Restaurant Chain,North America,Bermuda,42.3602534,-71.0582912,0
9002,Media Co.,North America,Bermuda,40.0757384,-74.4041622,-1
9003,Automotive Co.,Europe,Belgium,50.6402809,4.6667145,-1
9004,Media Co.,Asia,Thailand,14.8971921,100.83273,0
9005,Media Co.,South America,Paraguay,-21.0002179,-61.0006565,2
9006,Media Co.,Asia,India,22.41540825,72.0314970369928,2
9007,Media Co.,Asia,India,18.521428,73.8544541,0
9008,Media Co.,North America,Mexico,32.7174202,-117.1627728,0
9009,Media Co.,North America,Mexico,32.7174202,-117.1627728,4
9010,Media Co.,Europe,Italy,40.6943046,14.4804813,0
9011,Restaurant Chain,North America,Bahamas,26.640628,-81.8723084,1
9012,Media Co.,North America,United States,36.7014631,-118.755997,0
9013,Restaurant Chain,North America,Bahamas,37.1232245,-78.4927721,0
9014,Automotive Co.,Europe,Holy See (Vatican City State),42.6384261,12.674297,0
9015,Media Co.,North America,United States,37.7884969,-122.3558473,2
9016,Media Co.,North America,Mexico,34.0536909,-118.242766,0
9017,Media Co.,North America,United States,41.8755616,-87.6244212,1
9018,Media Co.,South America,Brazil,-23.5506507,-46.6333824,4
9019,Restaurant Chain,South America,Peru,-12.0621065,-77.0365256,3
9020,Automotive Co.,Europe,The Netherlands,52.5001698,5.7480821,4
9021,Media Co.,Asia,Thailand,14.8971921,100.83273,0
9022,Media Co.,North America,Mexico,32.7174202,-117.1627728,4
9023,Automotive Co.,North America,Mexico,34.0536909,-118.242766,5
9024,Media Co.,Asia,Singapore,1.357107,103.8194992,0
9025,Fashion Co.,Europe,United Kingdom,51.5073219,-0.1276474,-3
9026,Restaurant Chain,North America,Mexico,19.416667,-98.166667,3
9027,Automotive Co.,Europe,Belgium,50.8465573,4.351697,0
9028,Media Co.,North America,Canada,61.0666922,-107.991707,-3
9029,Media Co.,North America,Mexico,33.8347516,-117.911732,0
9030,Media Co.,North America,United States,37.62814595,-122.42642702111,3
9031,Media Co.,South America,French Guiana,0.0401529,-51.0569588,4
9032,Automotive Co.,Asia,Iran,32.6475314,54.5643516,0
9033,Automotive Co.,Europe,United Kingdom,53.4071991,-2.99168,2
9034,Fashion Co.,Asia,Malaysia,4.5693754,102.2656823,-4
9035,Media Co.,South America,Brazil,-23.5506507,-46.6333824,3
9036,Automotive Co.,North America,United States,30.2711286,-97.7436995,-2
9037,Media Co.,North America,Bahamas,26.715364,-80.0532942,1
9038,Restaurant Chain,North America,United States,35.6876096,-105.9384569,-4
9039,Media Co.,Europe,Norway,60.5000209,9.0999715,0
9040,Media Co.,North America,Mexico,34.0536909,-118.242766,1
9041,Media Co.,Europe,The Netherlands,51.9625101,7.6251879,0
9042,Media Co.,Asia,Israel,31.5313113,34.8667654,3
9043,Media Co.,North America,Bermuda,43.1561681,-75.8449946,-2
9044,Media Co.,North America,Canada,61.0666922,-107.991707,-2
9045,Automotive Co.,Asia,Nepal,28.6138954,77.2090057,3
9046,Media Co.,North America,United States,36.7014631,-118.755997,-2
9047,Fashion Co.,Asia,Malaysia,4.5693754,102.2656823,-2
9048,Fashion Co.,Asia,Nepal,28.6138954,77.2090057,2
9049,Automotive Co.,North America,Canada,55.001251,-125.002441,2
9050,Automotive Co.,North America,United States,32.7762719,-96.7968559,-1
9051,Automotive Co.,Europe,Finland,59.938732,30.316229,1
9052,Automotive Co.,North America,Bermuda,40.7127281,-74.0060152,3
9053,Media Co.,North America,United States,39.9622601,-83.0007065,-3
9054,Restaurant Chain,Asia,Philippines,14.6509905,121.0486155,2
9055,Automotive Co.,North America,Canada,61.0666922,-107.991707,4
9056,Automotive Co.,Europe,Finland,59.938732,30.316229,1
9057,Automotive Co.,Europe,Croatia,45.5643442,17.0118954,2
9058,Media Co.,North America,Mexico,34.0194704,-118.4912273,4
9059,Media Co.,North America,Mexico,20.6720375,-103.3383962,-2
9060,Fashion Co.,North America,Mexico,32.7174202,-117.1627728,0
9061,Restaurant Chain,Africa,Benin,6.4550575,3.3941795,0
9062,Restaurant Chain,North America,Bahamas,28.5421109,-81.3790304,0
9063,Automotive Co.,North America,United States,39.7837304,-100.4458825,0
9064,Automotive Co.,North America,Bermuda,43.1561681,-75.8449946,0
9065,Fashion Co.,North America,Bahamas,27.7567667,-81.4639835,-1
9066,Media Co.,North America,Bermuda,40.7127281,-74.0060152,0
9067,Restaurant Chain,Asia,Nepal,30.0417376,79.089691,3
9068,Media Co.,Europe,United Kingdom,54.7023545,-3.2765753,0
9069,Media Co.,North America,Bermuda,40.7127281,-74.0060152,3
9070,Automotive Co.,Europe,Romania,44.4361414,26.1027202,0
9071,Restaurant Chain,North America,Mexico,22.5000485,-100.0000375,3
9072,Media Co.,North America,United States,37.62814595,-122.42642702111,3
9073,Automotive Co.,North America,United States,41.9216734,-93.3122705,0
9074,Automotive Co.,North America,United States,42.9632405,-85.6678639,-1
9075,Media Co.,North America,Mexico,22.5000485,-100.0000375,2
9076,Restaurant Chain,South America,Argentina,-34.9964963,-64.9672817,3
9077,Media Co.,North America,Bermuda,40.7127281,-74.0060152,0
9078,Media Co.,Africa,Egypt,30.0443879,31.2357257,0
9079,Media Co.,Asia,India,19.0759899,72.8773928,0
9080,Media Co.,North America,Mexico,34.0536909,-118.242766,0
9081,Media Co.,Asia,Christmas Island,-6.1753942,106.827183,0
9082,Media Co.,North America,United States,39.7392364,-104.9848623,0
9083,Media Co.,Asia,Nepal,28.6138954,77.2090057,0
9084,Media Co.,Asia,Nepal,28.6138954,77.2090057,0
9085,Media Co.,Asia,Singapore,1.357107,103.8194992,0
9086,Media Co.,Asia,India,22.3511148,78.6677428,0
9087,Media Co.,North America,Bahamas,25.7929198,-80.1353006,0
9088,Media Co.,North America,Bermuda,41.1414855,-73.3578955,-1
9089,Automotive Co.,Europe,Estonia,60.1674881,24.9427473,-1
9090,Media Co.,North America,Mexico,34.0923014,-118.3692894,0
9091,Restaurant Chain,Europe,United Kingdom,51.5073219,-0.1276474,0
9092,Media Co.,North America,Mexico,34.0536909,-118.242766,1
9093,Restaurant Chain,Europe,Germany,52.5170365,13.3888599,3
9094,Media Co.,North America,United States,38.6529545,-90.2411165602464,4
9095,Media Co.,Asia,Mongolia,51.2086975,89.2343748,1
9096,Media Co.,North America,United States,36.7014631,-118.755997,-1
9097,Restaurant Chain,North America,United States,31.8160381,-99.5120986,0
9098,Restaurant Chain,North America,Bermuda,40.9699889,-77.7278831,-3
9099,Automotive Co.,North America,Mexico,34.0536909,-118.242766,0
9100,Automotive Co.,Africa,Nigeria,9.6000359,7.9999721,4
9101,Media Co.,North America,United States,39.4225192,-111.714358,3
9102,Media Co.,Asia,Japan,35.444991,139.636768,4
9103,Restaurant Chain,North America,United States,36.7014631,-118.755997,-2
9104,Automotive Co.,Asia,Turkey,41.0096334,28.9651646,0
9105,Media Co.,North America,Mexico,33.8347516,-117.911732,-1
9106,Media Co.,North America,Mexico,33.8347516,-117.911732,2
9107,Media Co.,North America,Mexico,33.8347516,-117.911732,2
9108,Media Co.,North America,United States,41.8755616,-87.6244212,0
9109,Automotive Co.,North America,United States,36.7014631,-118.755997,1
9110,Media Co.,North America,United States,34.729847,-86.5859011,0
9111,Restaurant Chain,North America,United States,36.7014631,-118.755997,-4
9112,Automotive Co.,North America,United States,30.2711286,-97.7436995,1
9113,Media Co.,North America,Saint Pierre and Miquelon,44.2057083,-70.7537838744789,0
9114,Automotive Co.,Asia,Turkey,41.0096334,28.9651646,4
9115,Media Co.,North America,Canada,61.0666922,-107.991707,0
9116,Media Co.,North America,Bahamas,27.7567667,-81.4639835,0
9117,Media Co.,North America,United States,39.7837304,-100.4458825,0
9118,Automotive Co.,North America,United States,43.6211955,-84.6824346,2
9119,Media Co.,North America,United States,43.8563707,-79.3376825,0
9120,Fashion Co.,Asia,Philippines,8.47662045,124.647242365623,0
9121,Automotive Co.,North America,Bahamas,27.7567667,-81.4639835,0
9122,Media Co.,South America,Ecuador,-2.1704143,-79.9050240842775,3
9123,Automotive Co.,Asia,Turkey,41.0096334,28.9651646,0
